id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
"76","Track76","Midnight Atlas","folk","serene","0.82","149","0.56","0.65","0.13"
"77","Track77","Silver Vale","r&b","intense","0.74","93","0.35","0.52","0.07"
"78","Track78","Golden Transit","lofi","epic","0.41","113","0.64","0.52","0.07"
"79","Track79","Velvet Engine","electronic","curious","0.89","79","0.73","0.50","0.54"
"80","Track80","Paper Orbit","ambient","moody","0.24","130","0.80","0.39","0.81"
"81","Track81","Nova Drift","chiptune","curious","0.32","91","0.43","0.41","0.88"
"82","Track82","Quiet Voltage","k-pop","romantic","0.50","78","0.91","0.48","0.04"
"83","Track83","Cloud District","ambient","focused","0.35","139","0.61","0.66","0.93"
"84","Track84","Urban Meadow","pop","confident","0.37","58","0.83","0.36","0.04"
"85","Track85","Urban Meadow","lofi","nostalgic","0.65","161","0.68","0.48","0.25"
"86","Track86","Paper Orbit","blues","moody","0.54","76","0.85","0.90","0.81"
"87","Track87","Quiet Voltage","classical","quirky","0.20","141","0.52","0.85","0.11"
"88","Track88","Urban Meadow","latin pop","dreamy","0.89","156","0.55","0.50","0.21"
"89","Track89","Cloud District","rock","relaxed","0.23","134","0.56","0.34","0.64"
"90","Track90","Quiet Voltage","latin pop","curious","0.33","122","0.73","0.68","0.19"
"91","Track91","Midnight Atlas","blues","chill","0.24","119","0.72","0.40","0.04"
"92","Track92","Cloud District","reggae","happy","0.23","138","0.57","0.56","0.11"
"93","Track93","Quiet Voltage","house","groovy","0.58","152","0.86","0.87","0.38"
"94","Track94","Urban Meadow","country","groovy","0.59","137","0.38","0.62","0.36"
"95","Track95","Silver Vale","synthwave","warm","0.56","61","0.72","0.56","0.07"
"96","Track96","Blue Arcade","rock","driven","0.46","159","0.47","0.46","0.39"
"97","Track97","Nova Drift","country","peaceful","0.67","138","0.73","0.43","0.14"
"98","Track98","Paper Orbit","afrobeat","nostalgic","0.56","107","0.73","0.52","0.76"
"99","Track99","Lunar Static","synthwave","epic","0.71","73","0.42","0.36","0.52"
"100","Track100","Paper Orbit","jazz","curious","0.37","98","0.87","0.71","0.87"
"101","Track101","Cloud District","rock","quirky","0.64","79","0.82","0.81","0.16"
"102","Track102","Blue Arcade","country","nostalgic","0.55","72","0.80","0.75","0.52"
"103","Track103","Maple Noise","reggae","relaxed","0.67","159","0.67","0.50","0.06"
"104","Track104","Midnight Atlas","soul","playful","0.24","157","0.67","0.37","0.09"
"105","Track105","Quiet Voltage","post-rock","chill","0.71","111","0.38","0.29","0.31"
"106","Track106","Maple Noise","indie pop","playful","0.78","141","0.38","0.36","0.87"
"107","Track107","Blue Arcade","pop","relaxed","0.90","125","0.72","0.54","0.52"
"108","Track108","Golden Transit","trip hop","playful","0.47","91","0.54","0.91","0.97"
"109","Track109","Pulse Theory","drum and bass","playful","0.76","121","0.80","0.84","0.19"
"110","Track110","Midnight Atlas","pop","focused","0.79","56","0.69","0.77","0.43"
"111","Track111","Quiet Voltage","folk","serene","0.79","92","0.68","0.74","0.27"
"112","Track112","Nova Drift","pop","romantic","0.24","152","0.76","0.92","0.17"
"113","Track113","Lunar Static","latin pop","peaceful","0.28","64","0.58","0.70","0.56"
"114","Track114","Midnight Atlas","dream pop","playful","0.37","56","0.70","0.79","0.09"
"115","Track115","Echo Harbor","r&b","confident","0.54","70","0.36","0.35","0.90"
"116","Track116","Nova Drift","blues","driven","0.81","56","0.87","0.65","0.55"
"117","Track117","Nova Drift","latin pop","groovy","0.62","69","0.35","0.77","0.13"
"118","Track118","Blue Arcade","funk","playful","0.81","144","0.91","0.47","0.77"
"119","Track119","Blue Arcade","post-rock","romantic","0.40","106","0.73","0.39","0.12"
"120","Track120","Echo Harbor","funk","serene","0.26","130","0.64","0.90","0.22"
"121","Track121","Urban Meadow","lofi","reflective","0.68","86","0.73","0.78","0.19"
"122","Track122","Cloud District","blues","dreamy","0.83","143","0.49","0.76","0.74"
"123","Track123","Urban Meadow","lofi","happy","0.18","121","0.61","0.51","0.91"
"124","Track124","Golden Transit","indie pop","dreamy","0.56","125","0.67","0.58","0.16"
